Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
1992,Ozzie Smith,Cardinals,132,590,0,73,31,43,10.00%,5.80%,0.046,0.315,0.295,0.367,0.342,0.327,107,5,9.7,20.1,5.1,1012186
1991,Ozzie Smith,Cardinals,150,641,3,96,50,35,12.90%,5.60%,0.082,0.301,0.285,0.38,0.367,0.345,119,3.4,17,10.7,5.1,1012186
1999,Barry Larkin,Reds,161,687,12,108,75,30,13.50%,8.30%,0.127,0.307,0.293,0.39,0.42,0.362,108,2.4,10,20.5,5.1,335
2016,Carlos Correa,Astros,153,660,20,76,96,13,11.40%,21.10%,0.177,0.328,0.274,0.361,0.451,0.349,123,4,21.9,4.7,5,14162
2017,Zack Cozart,Reds,122,507,24,80,63,3,12.20%,15.40%,0.251,0.312,0.297,0.385,0.548,0.392,141,-1.5,25.3,8.6,5,2616
2008,Jimmy Rollins,Phillies,137,625,11,76,59,47,9.30%,8.80%,0.16,0.29,0.277,0.349,0.437,0.342,104,8.1,11,18.8,5,971
2004,Jimmy Rollins,Phillies,154,725,14,119,73,30,7.90%,10.10%,0.166,0.308,0.289,0.348,0.455,0.347,105,8.7,13,13.7,5,971
1988,Cal Ripken,Orioles,161,689,23,87,81,2,14.80%,10.00%,0.167,0.262,0.264,0.372,0.431,0.359,127,-1,20.4,2.7,5,1010978
2006,Miguel Tejada,Orioles,162,709,24,99,100,6,6.50%,11.10%,0.168,0.345,0.33,0.379,0.498,0.374,125,-3.8,18.7,7.8,4.9,941
2017,Andrelton Simmons,Angels,158,647,14,77,69,19,7.30%,10.40%,0.143,0.291,0.278,0.331,0.421,0.323,103,2,4.6,22.6,4.9,10847
1990,Tony Fernandez,Blue Jays,161,721,4,84,66,26,9.80%,9.70%,0.115,0.302,0.276,0.352,0.391,0.335,108,-0.2,6.5,17.5,4.9,1004002
1986,Ozzie Smith,Cardinals,153,609,0,67,54,31,13.00%,4.40%,0.053,0.294,0.28,0.376,0.333,0.321,101,3.3,4,23.9,4.9,1012186
2016,Xander Bogaerts,Red Sox,157,719,21,115,89,13,8.10%,17.10%,0.152,0.335,0.294,0.356,0.446,0.348,115,6.1,18.9,4.2,4.9,12161
2010,Stephen Drew,Diamondbacks,151,633,15,83,61,10,9.80%,17.10%,0.181,0.321,0.278,0.352,0.458,0.355,113,1.5,11.5,15.4,4.8,4251
1987,Tony Fernandez,Blue Jays,146,642,5,90,67,32,7.90%,7.50%,0.104,0.342,0.322,0.379,0.426,0.355,115,1,13.4,13.5,4.8,1004002
2013,Ian Desmond,Nationals,158,655,20,77,80,21,6.60%,22.10%,0.173,0.336,0.28,0.331,0.453,0.341,116,1.9,13.4,11.6,4.8,6885
2002,Nomar Garciaparra,Red Sox,156,693,24,101,120,5,5.90%,9.10%,0.217,0.309,0.31,0.352,0.528,0.373,127,2.5,25.9,-1.7,4.8,190
2007,Orlando Cabrera,Angels,155,701,8,101,86,20,6.30%,9.10%,0.096,0.319,0.301,0.345,0.397,0.328,97,7.9,5.4,19.2,4.8,766
2011,Jhonny Peralta,Tigers,146,576,21,68,86,0,6.90%,16.50%,0.179,0.325,0.299,0.345,0.478,0.356,122,-4.9,9.5,16.7,4.7,1738
1999,Alex Rodriguez,Mariners,129,572,42,110,111,21,9.80%,19.10%,0.301,0.281,0.285,0.357,0.586,0.395,136,1,28.9,1.9,4.7,1274
2005,Miguel Tejada,Orioles,162,704,26,89,98,5,5.70%,11.80%,0.211,0.316,0.304,0.349,0.515,0.367,126,-2.1,20.5,2.7,4.7,941
2004,Derek Jeter,Yankees,154,721,23,111,78,23,6.40%,13.70%,0.179,0.315,0.292,0.352,0.471,0.356,117,2.4,17.7,6.1,4.7,826
2012,Jimmy Rollins,Phillies,156,699,23,102,68,30,8.90%,13.70%,0.177,0.262,0.25,0.316,0.427,0.322,101,7.7,8.3,14.9,4.7,971
2005,Felipe Lopez,Reds,148,648,23,97,85,15,8.80%,17.10%,0.195,0.322,0.291,0.352,0.486,0.36,116,3.9,17.4,8,4.7,1311
2012,Ian Desmond,Nationals,130,547,25,72,73,21,5.50%,20.70%,0.218,0.332,0.292,0.335,0.511,0.362,128,-0.7,17.2,10.3,4.7,6885
1994,Cal Ripken,Orioles,112,484,13,71,75,1,6.60%,8.50%,0.144,0.322,0.315,0.364,0.459,0.359,111,0.2,7.5,23.1,4.6,1010978
2005,Julio Lugo,Devil Rays,158,690,6,89,57,39,8.80%,10.40%,0.107,0.325,0.295,0.362,0.403,0.339,109,5.9,13.4,8.8,4.6,565
2013,Andrelton Simmons,Braves,157,658,17,76,59,6,6.10%,8.40%,0.149,0.247,0.248,0.296,0.396,0.303,91,-2.6,-9,31.6,4.5,10847
2005,Rafael Furcal,Braves,154,689,12,100,58,46,9.00%,11.30%,0.144,0.307,0.284,0.348,0.429,0.338,105,7.5,11.7,11,4.5,88
2002,Miguel Tejada,Athletics,162,715,34,108,131,7,5.30%,11.70%,0.199,0.31,0.308,0.354,0.508,0.371,129,3.6,29.5,-8.8,4.5,941
2002,David Eckstein,Angels,152,702,8,107,63,21,6.40%,6.30%,0.095,0.301,0.293,0.363,0.388,0.336,105,5.7,10.2,10.6,4.5,10
1993,Travis Fryman,Tigers,151,695,22,98,97,9,11.10%,18.40%,0.186,0.346,0.3,0.379,0.486,0.382,132,0.3,27.6,-5,4.5,385
1986,Tony Fernandez,Blue Jays,163,727,10,91,65,25,3.70%,7.20%,0.118,0.323,0.31,0.338,0.428,0.339,107,0.1,6.4,12.9,4.5,1004002
2000,Jose Valentin,White Sox,144,648,25,107,92,19,9.10%,16.40%,0.218,0.295,0.273,0.343,0.491,0.358,107,3,9,15.2,4.5,256
2002,Jose Hernandez,Brewers,152,582,24,72,73,3,8.90%,32.30%,0.19,0.404,0.288,0.356,0.478,0.36,119,-4.1,9.4,16.3,4.5,688
2015,Brandon Crawford,Giants,143,561,21,65,84,6,7.00%,21.20%,0.205,0.294,0.256,0.321,0.462,0.332,113,-1.4,7.4,17.1,4.5,5343
2011,J.J. Hardy,Orioles,129,567,30,76,80,0,5.50%,16.20%,0.222,0.273,0.269,0.31,0.491,0.344,113,0.5,8.9,14.7,4.4,3797
1991,Jay Bell,Pirates,157,697,16,96,67,10,7.50%,14.20%,0.158,0.298,0.27,0.33,0.428,0.339,116,-0.4,12.3,7.3,4.4,48
1999,Mike Bordick,Orioles,160,708,10,93,77,14,7.60%,14.40%,0.125,0.312,0.277,0.334,0.403,0.325,91,1,-7.9,28.4,4.4,129
2005,Derek Jeter,Yankees,159,752,19,122,70,14,10.20%,15.60%,0.141,0.351,0.309,0.389,0.45,0.369,129,0.2,26.4,-8.1,4.4,826
2006,Hanley Ramirez,Marlins,158,700,17,119,59,51,8.00%,18.30%,0.188,0.343,0.292,0.353,0.48,0.358,116,10,24.5,-2.6,4.4,8001
1988,Tony Fernandez,Blue Jays,154,704,5,76,70,15,6.40%,9.20%,0.099,0.311,0.287,0.335,0.386,0.324,102,0.5,1.9,16.2,4.4,1004002
2015,Xander Bogaerts,Red Sox,156,654,7,84,81,10,4.90%,15.40%,0.101,0.372,0.32,0.355,0.421,0.338,111,3.7,11.8,8,4.4,12161
2006,Jimmy Rollins,Phillies,158,758,25,127,83,36,7.50%,10.60%,0.2,0.281,0.277,0.334,0.478,0.346,103,4.8,7.6,12,4.3,971
2004,Jack Wilson,Pirates,157,693,11,82,59,8,3.80%,10.20%,0.15,0.33,0.308,0.335,0.459,0.341,103,3.3,6.2,14.9,4.3,1017
1997,Alex Rodriguez,Mariners,141,638,23,100,84,29,6.40%,15.50%,0.196,0.328,0.3,0.35,0.496,0.368,119,3.3,18.8,2.5,4.3,1274
2005,Jhonny Peralta,Indians,141,570,24,82,78,0,10.20%,22.50%,0.228,0.346,0.292,0.366,0.52,0.378,136,-1.8,23,0.3,4.3,1738
2001,Derek Jeter,Yankees,150,686,21,110,74,27,8.20%,14.40%,0.169,0.343,0.311,0.377,0.48,0.371,130,4.5,30.3,-10.2,4.2,826
2014,Erick Aybar,Angels,156,641,7,77,68,16,5.60%,9.70%,0.1,0.297,0.278,0.321,0.379,0.308,101,2.8,3.4,14.6,4.2,4082
2010,Hanley Ramirez,Marlins,142,619,21,92,76,32,10.30%,15.00%,0.175,0.327,0.3,0.378,0.475,0.369,127,4.6,24.5,-3.2,4.2,8001
2009,Marco Scutaro,Blue Jays,144,680,12,100,60,14,13.20%,11.00%,0.127,0.304,0.282,0.379,0.409,0.353,112,2.8,12.9,5.7,4.2,1555
2003,Orlando Cabrera,Expos,162,691,17,95,80,24,7.50%,9.30%,0.163,0.305,0.297,0.347,0.46,0.348,106,6.4,11.4,8.4,4.2,766
1992,Jay Bell,Pirates,159,712,9,87,55,7,7.70%,14.50%,0.119,0.303,0.264,0.326,0.383,0.324,105,-0.7,3.2,13.7,4.2,48
1992,Travis Fryman,Tigers,161,721,20,87,96,8,6.20%,20.00%,0.15,0.309,0.266,0.316,0.416,0.33,103,-0.1,2.5,13.7,4.1,385
2011,Alexei Ramirez,White Sox,158,684,15,81,70,7,7.50%,12.30%,0.13,0.288,0.269,0.328,0.399,0.322,97,2.1,-0.5,17.5,4.1,5133
2005,Michael Young,Rangers,159,732,24,114,91,5,7.90%,12.40%,0.183,0.354,0.331,0.385,0.513,0.389,136,0.8,33.2,-16.7,4.1,1286
1995,Cal Ripken,Orioles,144,613,17,71,88,0,8.50%,9.60%,0.16,0.263,0.262,0.324,0.422,0.325,90,-0.6,-8.9,29.7,4.1,1010978
1985,Tony Fernandez,Blue Jays,161,618,2,71,51,13,7.00%,6.60%,0.101,0.308,0.289,0.34,0.39,0.327,99,0,-1,20.7,4.1,1004002
1986,Scott Fletcher,Rangers,147,594,3,82,50,12,7.90%,9.90%,0.1,0.331,0.3,0.36,0.4,0.342,107,-2.1,3.3,17.1,4.1,1004155
2003,Derek Jeter,Yankees,119,542,10,87,52,11,7.90%,16.20%,0.127,0.379,0.324,0.393,0.45,0.372,129,1.9,21.4,1.6,4.1,826
2012,Jose Reyes,Marlins,160,716,11,86,57,40,8.80%,7.80%,0.146,0.298,0.287,0.347,0.433,0.335,111,3.6,12.8,4.1,4.1,1736
