Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
2015,Jose Reyes,- - -,116,519,7,57,53,24,5.00%,11.90%,0.104,0.301,0.274,0.31,0.378,0.3,81,1.5,-9.7,-1.5,0.6,1736
2012,Rafael Furcal,Cardinals,121,531,5,69,49,12,8.30%,10.70%,0.082,0.289,0.264,0.325,0.346,0.298,86,2,-6.8,-4.2,0.6,88
2001,Rafael Furcal,Braves,79,359,4,39,30,22,6.70%,15.60%,0.096,0.315,0.275,0.321,0.37,0.302,80,1.8,-7.5,1.6,0.6,88
1992,Jose Offerman,Dodgers,149,598,1,67,30,23,9.50%,16.40%,0.073,0.316,0.26,0.331,0.333,0.305,94,-1.7,-5.4,-9,0.6,205
2005,Jamey Carroll,Nationals,113,358,0,44,22,3,9.50%,15.40%,0.033,0.303,0.251,0.333,0.284,0.285,72,3.1,-9.4,3.4,0.6,1591
1991,Donnie Hill,Angels,77,242,1,36,20,1,12.40%,8.70%,0.062,0.262,0.239,0.335,0.301,0.298,83,0.2,-4.8,2.5,0.6,1005811
1995,Chris Snopek,White Sox,22,77,1,12,7,1,11.70%,15.60%,0.103,0.382,0.324,0.403,0.426,0.375,126,0.2,2.8,0.4,0.6,1012236
1997,Rey Ordonez,Mets,120,391,1,35,33,11,4.60%,9.20%,0.039,0.237,0.216,0.255,0.256,0.229,33,0.1,-33.1,25.9,0.6,889
2002,Mark DeRosa,Braves,72,232,5,24,23,2,5.20%,10.30%,0.132,0.312,0.297,0.339,0.429,0.331,100,-1,-1.1,-0.9,0.6,1392
1995,Benji Gil,Rangers,130,454,9,36,46,2,5.70%,32.40%,0.128,0.314,0.219,0.266,0.347,0.272,53,-1.4,-29,18.8,0.6,14
2016,Chris Owings,Diamondbacks,119,466,5,52,49,21,4.30%,18.70%,0.14,0.334,0.277,0.315,0.416,0.311,86,2.8,-5.4,-4,0.6,10030
2010,John McDonald,Blue Jays,63,163,6,27,23,2,3.70%,16.00%,0.204,0.26,0.25,0.273,0.454,0.311,90,-1,-2.9,2.7,0.6,395
2011,Alex Gonzalez,Braves,149,593,15,59,56,2,3.70%,21.20%,0.131,0.285,0.241,0.27,0.372,0.281,75,-2.5,-19.9,6.6,0.6,520
2017,Ronald Torreyes,Yankees,108,336,3,35,36,2,3.30%,12.80%,0.083,0.326,0.292,0.314,0.375,0.297,82,0.3,-7.3,1.3,0.6,11400
2008,Alex Cora,Red Sox,75,179,0,14,9,1,8.90%,7.30%,0.079,0.293,0.27,0.371,0.349,0.329,95,0.2,-0.9,0.3,0.6,1386
2001,Lou Merloni,Red Sox,52,159,3,21,13,2,3.80%,19.50%,0.13,0.316,0.267,0.306,0.397,0.305,82,0,-3.7,3.8,0.5,201
1995,Jose Valentin,Brewers,112,386,11,62,49,16,9.60%,21.50%,0.183,0.254,0.219,0.293,0.402,0.306,76,-0.4,-12.6,5,0.5,256
1993,Tim Jones,Cardinals,29,73,0,13,1,2,12.30%,11.00%,0.098,0.302,0.262,0.366,0.361,0.336,105,-0.4,0,2.8,0.5,1006598
